DatasetName,Target,Pipeline,EvaluationMetric,Time,Size,Website
creditcard,Class,"out_null,imp_null,ZS,fea_null,dup_null,out_null,RF",0.999543555,202.5881906,"(284807, 31)",https
Banking Dataset Classification,y,"LC,IQR,ZS,fea_null,dup_null,out_null,RF",0.940314903,1.660810471,"(32950, 16)",https
MY2022 Fuel Consumption Ratings,Smog Rating,"OE,ZS,dup_null,dup_null,dup_null,out_null,RF",0.731578947,0.148949862,"(946, 15)",https
lithium-ion batteries,Crystal System,"AD,OE,ZS,dup_null,dup_null,out_null,RF",0.852941176,1.776734114,"(339, 11)",https
ionosphere_data,column_ai,"imp_null,LC,ZS,dup_null,dup_null,out_null,NB",0.943661972,0.046926022,"(351, 35)",https
Debernardi et al 2020 data,diagnosis,"OE,MEDIAN,ZS,dup_null,dup_null,out_null,RF",0.983050847,0.112811565,"(590, 14)",https
Web page Phishing Detection,status,"OE,ZS,fea_null,enc_null,dup_null,out_null,RF",0.965879265,1.169764996,"(11430, 89)",https
HR Analytics Employee Promotion Data,is_promoted,"OE,MEDIAN,LC,nor_null,dup_null,out_null,RF",0.939244663,3.508179665,"(54808, 13)",https
Credit Card Defaulter Prediction,default,"OE,ZS,imp_null,nor_null,dup_null,out_null,RF",0.823666667,4.393324614,"(30000, 25)",https
heart_statlog_cleveland_hungary_final,target,"ED,ZS,enc_null,nor_null,dup_null,out_null,RF",0.955156951,0.117493868,"(1190, 12)",https
CTG,NSP,"imp_null,IQR,ZS,nor_null,dup_null,out_null,RF",0.989208633,0.179870844,"(2129, 40)",https
CDR-Call-Details,Churn,"AD,IQR,ZS,nor_null,dup_null,out_null,RF",0.950685436,9.495403051,"(101174, 17)",https
16P,Personality,"IQR,fea_null,fea_null,nor_null,dup_null,out_null,RF",0.97425,9.429229975,"(59999, 62)",https
FIC,Mortality,"OE,ZS,fea_null,nor_null,dup_null,out_null,RF",1.0,0.145329714,"(368, 60)",https
