DatasetName,Target,Pipeline,EvaluationMetric,Time,Size,Website
Acoustic,STATUS,"imp_null,OE,MM,fea_null,dup_null,out_null,RF_REG",0.0197481799942677,1.2440171241760254,"(17442, 7)",https
Bank_Personal_Loan_Modelling,CreditCard,"imp_null,enc_null,ZS,fea_null,AD,IQR,OLS",0.1803476749934746,9.531173944473268,"(5000, 14)",https
Banking Dataset Classification,y,"imp_null,enc_null,ZS,LC,dup_null,IQR,OLS",0.052455144283826,0.081003189086914,"(32950, 16)",https
bmi,Index,"imp_null,OE,ZS,fea_null,dup_null,out_null,RF_REG",0.080846,0.1110117435455322,"(500, 4)",https
bodyPerformance,class,"imp_null,OE,nor_null,fea_null,dup_null,LOF,RF_REG",0.3241676683149486,7.944185256958008,"(13393, 12)",https
Linear_Regression_test,y,"imp_null,enc_null,MM,fea_null,ED,out_null,OLS",78.56962268334675,0.0149025917053222,"(300, 2)",https
Breast Cancer Prediction,Class,"imp_null,enc_null,ZS,fea_null,dup_null,IQR,RF_REG",0.0168082568807339,0.2110440731048584,"(683, 11)",https
Breast Cancer Prediction_NN,Normal Nucleoli,"imp_null,enc_null,ZS,fea_null,dup_null,IQR,OLS",1.650288198276337,0.033074140548706,"(683, 11)",https
car_data,Purchased,"imp_null,OE,ZS,fea_null,dup_null,out_null,RF_REG",0.0750775,0.1749980449676513,"(1000, 5)",https
card_transdata,fraud,"imp_null,enc_null,ZS,fea_null,dup_null,LOF,RF_REG",0.002770784696174,415.0465352535248,"(1000000, 8)",https
cirrhosis,Stage,"MEDIAN,OE,nor_null,fea_null,dup_null,out_null,RF_REG",0.446690625,0.3039956092834472,"(418, 20)",https
classast - pha,class,"imp_null,enc_null,nor_null,fea_null,dup_null,LOF,RF_REG",0.0084183333333333,0.5809879302978516,"(1748, 12)",https
classification_in_asteroseismology,POP,"imp_null,enc_null,nor_null,fea_null,dup_null,LOF,RF_REG",0.0154132450331125,0.3279991149902344,"(1001, 4)",https
classification_in_asteroseismology_epsilon,epsilon,"imp_null,enc_null,nor_null,fea_null,dup_null,LOF,RF_REG",916.1382854304636,0.2619855403900146,"(1001, 4)",https
Covid Dataset,COVID-19,"imp_null,OE,MM,fea_null,dup_null,out_null,RF_REG",0.0113284812133488,1.3129520416259766,"(5434, 21)",https
CTG,NSP,"imp_null,OE,ZS,fea_null,dup_null,out_null,RF_REG",0.0064239436619718,1.0129821300506592,"(2129, 40)",https
CTG_class,CLASS,"imp_null,enc_null,ZS,fea_null,dup_null,out_null,RF_REG",0.0105058823529412,0.5379829406738281,"(2129, 40)",https
CTG_Variance,Variance,"MEDIAN,OE,ZS,fea_null,dup_null,out_null,RF_REG",106.493723943662,3.3390040397644043,"(2129, 40)",https
CTG_Median,Median,"imp_null,OE,ZS,fea_null,dup_null,out_null,RF_REG",3.432300470588235,1.6660020351409912,"(2129, 40)",https
CTG_Mean,Mean,"imp_null,OE,ZS,fea_null,dup_null,out_null,RF_REG",5.477209882352942,3.4881045818328857,"(2129, 40)",https
Customer Segmentation,Segmentation,"DROP,OE,MM,fea_null,dup_null,LOF,RF_REG",0.9765972889233152,1.963998556137085,"(8068, 11)",https
customerTargeting,target,"imp_null,OE,DS,fea_null,dup_null,IQR,LASSO",0.513494925947697,0.5299923419952393,"(6620, 71)",https
Customertravel,ServicesOpted,"imp_null,OE,ZS,fea_null,dup_null,out_null,RF_REG",2.0119270434263035,0.2324199676513672,"(954, 7)",https
Customertravel_Target,Target,"imp_null,OE,nor_null,fea_null,dup_null,out_null,RF_REG",0.0606733520036871,0.4349911212921142,"(954, 7)",https
dementia_dataset,Group,"MF,OE,ZS,fea_null,ED,out_null,RF_REG",0.1412453333333333,0.3329870700836181,"(373, 15)",https
diabetes-dataset,Outcome,"imp_null,enc_null,DS,fea_null,dup_null,out_null,RF_REG",0.0717739999999999,1.0299925804138184,"(2000, 9)",https
Drug200,Drug,"imp_null,BE,nor_null,fea_null,dup_null,ZSB,RF_REG",0.2337588235294118,0.2840838432312011,"(200, 6)",https
Drug200_Na_to_K,Na_to_K,"imp_null,BE,nor_null,fea_null,dup_null,out_null,OLS",733.6436636591401,0.0850892066955566,"(200, 6)",https
ECommerceShipping,ReachedonTime,"imp_null,OE,MM,fea_null,ED,out_null,RF_REG",0.1821422727272727,7.043618440628052,"(10999, 12)",https
ECommerceShipping_Weight_in_gms,Weight_in_gms,"imp_null,OE,MM,fea_null,ED,out_null,RF_REG",347771.9305,5.806995391845703,"(10999, 12)",https
ECommerceShipping_Discount_offered,Discount_offered,"imp_null,BE,nor_null,fea_null,dup_null,ZSB,RF_REG",107.00399179580674,8.197537183761597,"(10999, 12)",https
ECommerceShipping_Customer_rating,Customer_rating,"imp_null,BE,nor_null,fea_null,dup_null,ZSB,OLS",1.948041441946548,0.3960027694702148,"(10999, 12)",https
